VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
2,2015-01-01 18:00:12,2015-01-01 18:03:52,1,0.63,-74.0071563720703,40.71316909790039,1,N,-74.01368713378906,40.70476150512695,2,4.5,1.0,0.5,0.0,0.0,6.3
2,2015-01-01 18:00:12,2015-01-01 18:02:58,1,0.46,-73.94970703125,40.78071594238281,1,N,-73.95599365234375,40.77992630004883,2,4.0,0.0,0.5,0.0,0.0,4.8
2,2015-01-01 18:00:12,2015-01-01 18:30:03,1,13.37,-73.8640899658203,40.7700080871582,1,N,-73.91366577148438,40.88574981689453,1,39.5,0.0,0.5,8.97,5.33,54.6
2,2015-01-01 18:00:12,2015-01-01 18:17:28,1,2.28,-74.00834655761719,40.74684143066406,1,N,-73.98628997802734,40.7576904296875,1,13.5,0.0,0.5,2.7,0.0,17.0
2,2015-01-01 18:00:13,2015-01-01 18:03:35,3,0.63,-73.98966979980467,40.74175643920898,1,N,-73.9795379638672,40.73757553100585,1,4.5,0.0,0.5,1.12,0.0,6.42
1,2015-01-01 18:00:13,2015-01-01 18:09:14,4,2.0,-73.985595703125,40.74730682373047,1,N,-73.99029541015625,40.76671600341797,2,8.5,0.0,0.5,0.0,0.0,9.3
2,2015-01-01 18:00:13,2015-01-01 18:02:13,2,0.47,-73.955810546875,40.768226623535156,1,N,-73.95848083496094,40.77263641357422,1,3.5,0.0,0.5,1.05,0.0,5.35
2,2015-01-01 18:00:13,2015-01-01 18:15:30,1,6.48,-73.97168731689453,40.76322937011719,1,N,-74.00955963134766,40.70404815673828,2,20.5,0.0,0.5,0.0,0.0,21.3
2,2015-01-01 18:00:13,2015-01-01 18:06:46,5,1.27,-73.9537124633789,40.76701736450195,1,N,-73.96730041503906,40.75694274902344,1,7.0,0.0,0.5,1.0,0.0,8.8
2,2015-01-01 18:00:14,2015-01-01 18:08:56,5,1.34,-73.97911071777342,40.7576560974121,1,N,-73.9904556274414,40.75522232055664,2,7.5,0.0,0.5,0.0,0.0,8.3
2,2015-01-01 18:00:14,2015-01-01 18:09:14,1,1.65,-73.98710632324219,40.7685775756836,1,N,-73.99102020263672,40.75081634521485,2,8.0,0.0,0.5,0.0,0.0,8.8
1,2015-01-01 18:00:14,2015-01-01 18:02:00,1,0.9,-73.96806335449219,40.79206085205078,1,N,-73.97627258300781,40.78092956542969,1,4.5,0.0,0.5,1.55,0.0,6.85
2,2015-01-01 18:00:14,2015-01-01 18:09:50,1,1.98,-73.9913101196289,40.75025939941406,1,N,-74.00196075439453,40.72705078125,1,9.0,0.0,0.5,1.8,0.0,11.6
2,2015-01-01 18:00:15,2015-01-01 18:04:56,1,1.17,-73.96212005615234,40.80543899536133,1,N,-73.97265625,40.79344177246094,1,6.0,0.0,0.5,1.0,0.0,7.8
2,2015-01-01 18:00:15,2015-01-01 18:06:33,1,1.23,-73.99002838134766,40.73834609985352,1,N,-73.99269866943358,40.724136352539055,1,6.5,0.0,0.5,1.3,0.0,8.6
2,2015-01-01 18:00:15,2015-01-01 18:09:28,1,2.85,-73.98905944824219,40.74391174316406,1,N,-73.9798126220703,40.7139892578125,1,11.0,0.0,0.5,2.75,0.0,14.55
2,2015-01-01 18:00:15,2015-01-01 18:05:45,1,1.08,-73.97891998291014,40.76691055297852,1,N,-73.9632568359375,40.75870132446289,2,6.0,0.0,0.5,0.0,0.0,6.8
1,2015-01-01 18:00:15,2015-01-01 18:17:02,1,7.1,-73.98130798339844,40.76916122436523,1,N,-73.93956756591797,40.845703125,1,22.0,0.0,0.5,4.55,0.0,27.35
1,2015-01-01 18:00:15,2015-01-01 18:21:01,1,3.4,-73.99713897705078,40.71931838989258,1,N,-73.9866485595703,40.758464813232415,2,16.0,0.0,0.5,0.0,0.0,16.8
2,2015-01-01 18:00:15,2015-01-01 18:06:30,1,1.46,-73.98991394042969,40.73357391357422,1,N,-73.97855377197266,40.7510871887207,1,7.0,0.0,0.5,1.0,0.0,8.8
