u,v,length
42428010,42428007,86.653
42428012,371197453,216.823
42428012,42428013,81.01
42428012,42428010,80.064
42428013,589298326,225.924
42428013,42430075,216.251
42428013,42428014,81.148
42428013,42428012,81.01
42428014,6086355078,218.558
42428014,42428015,80.799
42428014,42428013,81.148
42428015,4562863353,222.865
42428015,42446478,214.976
42428015,42428016,80.126
42428015,42428014,80.799
42428016,42428015,80.126
42428016,42428020,86.85
42428020,42428022,86.385
42428020,42428016,86.85
42428020,42456060,216.01
42428020,42451744,227.999
42428022,42438513,226.897
42428022,42428024,80.437
42428022,42428020,86.385
42428024,42452956,216.872
42428024,42428027,80.58
42428024,42428022,80.437
42428027,42439416,226.9
42428027,42428029,80.3
42428027,42428024,80.58
42428029,42448254,216.936
42428029,42428032,81.176
42428029,42428027,80.3
42428032,42435522,226.683
42428032,42428034,80.119
42428032,42428029,81.176
42428034,42456066,216.96
42428034,42428037,87.29
42428034,42428032,80.119
42428037,42428034,87.29
42428037,42428039,85.101
42428037,42429348,225.911
42428037,42429342,217.186
42428039,42454196,216.767
42428039,42428037,85.101
42428039,42428043,79.563
42428043,42445757,223.911
42428043,42428039,79.563
42428043,42428045,81.927
42428045,42436551,216.006
42428045,42428043,81.927
42428045,42428047,77.937
42428047,42428045,77.937
42428047,42428049,83.927
42428047,42436556,296.14
42428049,42456076,215.839
42428049,42428047,83.927
42428049,6185259892,68.485
42428052,3785532382,27.585
42428052,42433421,34.038
42428061,42438859,77.305
42428063,42428061,271.694
42428063,42442463,87.104
42428065,1061531803,18.204
42428065,42428648,80.197
42428068,42428065,105.01
42428068,42431015,78.876
42428068,42431019,87.289
42428072,42428068,157.107
42428072,42422592,88.02
42428072,42438867,80.129
42428080,42427016,39.804
42428080,42442733,79.302
42428082,42428080,140.988
42428082,42444060,88.665
42428082,42455059,79.116
42428086,42428082,133.957
42428086,42433064,79.487
42428086,42433066,88.306
42428090,42428086,118.612
42428090,42449637,79.46
42428090,42444069,88.185
42428094,42428090,89.472
42428094,42429029,91.076
42428094,42429023,85.627
42428103,42444097,116.334
42428103,42427185,85.425
42428107,42428103,84.175
42428114,60926616,55.547
42428114,60925991,92.939
42428124,9166213997,85.013
42428124,42444097,85.818
42428124,42428107,112.605
42428124,42428130,398.998
42428130,595729852,103.08
42428134,42428144,224.235
42428134,42428130,254.57
42428144,9338511504,327.719
42428144,42427216,86.893
42428170,42439272,183.79
42428174,42428170,77.263
42428174,4597668026,145.509
42428179,42454378,138.397
42428179,42428174,78.167
42428183,42428179,77.801
42428183,4597668028,190.487
42428192,42443671,92.983
42428192,42428183,78.373
42428198,42428192,86.754
42428198,4597668040,245.001
42428201,42437881,43.857
42428201,42428198,87.569
42428201,42445867,110.94
42428206,42437881,84.962
42428212,42430274,261.156
42428220,42430279,200.682
42428223,42428220,84.465
42428223,42438544,139.918
42428227,42437686,200.492
42428227,42427787,83.954
42428232,42430292,79.595
