index,osmid,y,x,street_count,highway,ref,geometry
745,42442850,40.7267997,-73.9889783,4,traffic_signals,,POINT (-73.9889783 40.7267997)
746,42442851,40.7274076,-73.9885349,4,traffic_signals,,POINT (-73.9885349 40.7274076)
747,42442857,40.7291945,-73.987237,4,traffic_signals,,POINT (-73.987237 40.7291945)
748,42442862,40.7303818,-73.9863742,4,traffic_signals,,POINT (-73.9863742 40.7303818)
749,42442870,40.731019,-73.985909,4,traffic_signals,,POINT (-73.985909 40.731019)
750,42442877,40.734263,-73.9835476,4,traffic_signals,,POINT (-73.9835476 40.734263)
751,42442881,40.7354311,-73.9826949,4,traffic_signals,,POINT (-73.9826949 40.7354311)
752,42442889,40.7378893,-73.9809116,4,traffic_signals,,POINT (-73.9809116 40.7378893)
753,42442891,40.7391809,-73.9799749,4,traffic_signals,,POINT (-73.9799749 40.7391809)
754,42442895,40.7404187,-73.979088,3,traffic_signals,,POINT (-73.979088 40.7404187)
755,42442898,40.7410388,-73.9786461,3,traffic_signals,,POINT (-73.9786461 40.7410388)
756,42442902,40.7422741,-73.9777196,4,traffic_signals,,POINT (-73.9777196 40.7422741)
757,42442906,40.7428856,-73.9772801,3,traffic_signals,,POINT (-73.9772801 40.7428856)
758,42442910,40.7435047,-73.9768235,3,traffic_signals,,POINT (-73.9768235 40.7435047)
759,42442913,40.7441114,-73.9763847,4,traffic_signals,,POINT (-73.9763847 40.7441114)
760,42442918,40.7466882,-73.9745073,5,traffic_signals,,POINT (-73.9745073 40.7466882)
761,42442931,40.7472997,-73.9740676,4,traffic_signals,,POINT (-73.9740676 40.7472997)
762,42442933,40.7479309,-73.9735956,4,traffic_signals,,POINT (-73.9735956 40.7479309)
763,42442935,40.7485526,-73.9731576,4,traffic_signals,,POINT (-73.9731576 40.7485526)
764,42442937,40.7498355,-73.9721985,4,traffic_signals,,POINT (-73.9721985 40.7498355)
765,42442939,40.750494,-73.971713,4,traffic_signals,,POINT (-73.971713 40.750494)
766,42442943,40.751122,-73.971263,4,traffic_signals,,POINT (-73.971263 40.751122)
767,42442947,40.7517476,-73.9708043,4,traffic_signals,,POINT (-73.9708043 40.7517476)
768,42443127,40.7237271,-73.9910315,4,,,POINT (-73.9910315 40.7237271)
769,42443296,40.7298431,-73.9896929,3,,,POINT (-73.9896929 40.7298431)
770,42443298,40.7299057,-73.9889161,4,traffic_signals,,POINT (-73.9889161 40.7299057)
771,42443513,40.7232759,-73.9884461,4,traffic_signals,,POINT (-73.9884461 40.7232759)
772,42443588,40.7140166,-74.0044302,4,,,POINT (-74.0044302 40.7140166)
773,42443671,40.7402701,-73.9905315,4,traffic_signals,,POINT (-73.9905315 40.7402701)
774,42443674,40.7452231,-74.002304,4,traffic_signals,,POINT (-74.002304 40.7452231)
775,42443676,40.7463948,-74.0051067,4,traffic_signals,,POINT (-74.0051067 40.7463948)
776,42443677,40.7475038,-74.0077312,3,,,POINT (-74.0077312 40.7475038)
777,42443680,40.747152,-73.9854903,4,traffic_signals,,POINT (-73.9854903 40.747152)
778,42443799,40.7281239,-73.9902269,3,,,POINT (-73.9902269 40.7281239)
779,42443950,40.7503415,-73.9831749,4,traffic_signals,,POINT (-73.9831749 40.7503415)
780,42444051,40.7526987,-73.973049,4,traffic_signals,,POINT (-73.973049 40.7526987)
781,42444055,40.7507505,-73.9684095,3,traffic_signals,,POINT (-73.9684095 40.7507505)
782,42444267,40.733204,-74.0098,3,,,POINT (-74.0098 40.733204)
783,42444827,40.726409,-73.986176,4,traffic_signals,,POINT (-73.986176 40.726409)
784,42444829,40.7254711,-73.9839534,4,traffic_signals,,POINT (-73.9839534 40.7254711)
785,42444832,40.724494,-73.981637,4,traffic_signals,,POINT (-73.981637 40.724494)
786,42444833,40.7234983,-73.9792686,4,traffic_signals,,POINT (-73.9792686 40.7234983)
787,42444835,40.722498,-73.976893,4,traffic_signals,,POINT (-73.976893 40.722498)
788,42444837,40.7216193,-73.9747705,3,,,POINT (-73.9747705 40.7216193)
789,42444909,40.7422885,-74.0044325,4,traffic_signals,,POINT (-74.0044325 40.7422885)
790,42444916,40.7440561,-74.0031552,4,traffic_signals,,POINT (-74.0031552 40.7440561)
791,42444928,40.7477804,-74.000438,4,traffic_signals,,POINT (-74.000438 40.7477804)
792,42444933,40.7484089,-73.9999781,4,traffic_signals,,POINT (-73.9999781 40.7484089)
