index,osmid,y,x,highway,street_count,ref,geometry
8732,103269803,40.811124,-74.002233,,3,,POINT (-74.002233 40.811124)
8733,103270116,40.8254937,-74.0025558,,1,,POINT (-74.0025558 40.8254937)
8734,103270117,40.8264784,-74.0015933,turning_circle,1,,POINT (-74.0015933 40.8264784)
8735,103270521,40.8601809,-73.9927353,,3,,POINT (-73.9927353 40.8601809)
8736,103270655,40.8614205,-74.0239875,,3,,POINT (-74.0239875 40.8614205)
8737,103270656,40.8610266,-74.0223144,,4,,POINT (-74.0223144 40.8610266)
8738,103270660,40.8596031,-74.0160628,,3,,POINT (-74.0160628 40.8596031)
8739,103270730,40.83962,-73.9711153,,1,,POINT (-73.9711153 40.83962)
8740,103271065,40.844324,-73.980765,,4,,POINT (-73.980765 40.844324)
8741,103271066,40.845126,-73.982125,,1,,POINT (-73.982125 40.845126)
8742,103271514,40.8254323,-73.9930312,,1,,POINT (-73.9930312 40.8254323)
8743,103271518,40.8733228,-73.9856827,,3,,POINT (-73.9856827 40.8733228)
8744,103271520,40.8723128,-73.9838525,,3,,POINT (-73.9838525 40.8723128)
8745,103271800,40.8497366,-73.9914922,,1,,POINT (-73.9914922 40.8497366)
8746,103271803,40.8502585,-73.990962,,4,,POINT (-73.990962 40.8502585)
8747,103271812,40.842229,-73.9988837,,4,,POINT (-73.9988837 40.842229)
8748,103271817,40.844034,-73.997206,,4,,POINT (-73.997206 40.844034)
8749,103271819,40.846568,-73.994692,,4,,POINT (-73.994692 40.846568)
8750,103271821,40.847951,-73.993275,,4,,POINT (-73.993275 40.847951)
8751,103271823,40.848653,-73.9925743,,1,,POINT (-73.9925743 40.848653)
8752,103272301,40.876521,-73.9820956,turning_circle,1,,POINT (-73.9820956 40.876521)
8753,103272303,40.876339,-73.981857,,3,,POINT (-73.981857 40.876339)
8754,103272322,40.8230253,-73.9866357,,1,,POINT (-73.9866357 40.8230253)
8755,103272684,40.842331,-73.975126,,3,,POINT (-73.975126 40.842331)
8756,103272686,40.842721,-73.975847,,4,,POINT (-73.975847 40.842721)
8757,103272688,40.843612,-73.977491,,4,,POINT (-73.977491 40.843612)
8758,103272690,40.8437632,-73.9777396,,4,,POINT (-73.9777396 40.8437632)
8759,103272809,40.857693,-73.97721,,1,,POINT (-73.97721 40.857693)
8760,103272811,40.8582619,-73.9786406,,3,,POINT (-73.9786406 40.8582619)
8761,103272820,40.869647,-74.020209,,4,,POINT (-74.020209 40.869647)
8762,103272823,40.8699724,-74.0220855,,3,,POINT (-74.0220855 40.8699724)
8763,103272847,40.825896,-74.005222,,3,,POINT (-74.005222 40.825896)
8764,103272853,40.8274372,-74.0038354,,4,,POINT (-74.0038354 40.8274372)
8765,103272857,40.830448,-74.000826,,4,,POINT (-74.000826 40.830448)
8766,103273269,40.832321,-74.002511,,3,,POINT (-74.002511 40.832321)
8767,103273789,40.8663606,-73.9903616,,3,,POINT (-73.9903616 40.8663606)
8768,103274177,40.809813,-73.9923654,,1,,POINT (-73.9923654 40.809813)
8769,103274205,40.8150643,-73.9921086,,3,,POINT (-73.9921086 40.8150643)
8770,103274930,40.8689073,-74.0222888,,3,,POINT (-74.0222888 40.8689073)
8771,103275216,40.8675559,-74.0225467,,3,,POINT (-74.0225467 40.8675559)
8772,103275482,40.8761621,-73.9578402,turning_circle,1,,POINT (-73.9578402 40.8761621)
8773,103275483,40.877476,-73.9567711,,3,,POINT (-73.9567711 40.877476)
