u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,tunnel,width,access,junction
42427345,4300940094,0,505773769,Delancey Street,residential,25 mph,True,False,35.604,"LINESTRING (-73.9826968 40.7171005, -73.9830022 40.7171486, -73.9830683 40.7171655, -73.9831071 40.717175)",1,,,,,,
42427346,42437067,0,5670532,Rivington Street,residential,25 mph,True,False,79.392,"LINESTRING (-73.9825206 40.7183141, -73.9826185 40.7183434, -73.9833325 40.7185573, -73.9833967 40.7185765)",,,,,,,
42427346,42427352,0,"[1098734621, 492148701]",Pitt Street,residential,25 mph,True,False,136.63400000000001,"LINESTRING (-73.9825206 40.7183141, -73.9824986 40.7183563, -73.9823343 40.7186761, -73.9820818 40.7191795, -73.9819642 40.7194141, -73.9819415 40.7194618)",2,,,,,,
42427346,7500756892,0,492148701,Pitt Street,residential,25 mph,True,False,105.932,"LINESTRING (-73.9829775 40.7174266, -73.9825483 40.7182603, -73.9825206 40.7183141)",2,,,,,,
42427352,7552138519,0,46350695,Stanton Street,residential,25 mph,False,True,135.31,"LINESTRING (-73.9804466 40.7190179, -73.9811043 40.719213, -73.981899 40.7194484, -73.9819415 40.7194618)",2,,,,,,
42427352,42427358,0,1098734620,Pitt Street,residential,25 mph,True,False,141.333,"LINESTRING (-73.9819415 40.7194618, -73.9819182 40.7195107, -73.9816516 40.720051, -73.9813909 40.720574, -73.9813453 40.7206496)",1,,,,,,
42427352,42432078,0,845781114,Stanton Street,residential,25 mph,True,False,77.815,"LINESTRING (-73.9827973 40.7197245, -73.9827354 40.7197055, -73.9825007 40.7196334, -73.9820246 40.7194873, -73.9819415 40.7194618)",,,,,,,
42427358,1919595922,0,438375431,Avenue C,secondary,25 mph,False,True,14.166,"LINESTRING (-73.9813453 40.7206496, -73.9812727 40.7207645)",2,,,,,,
42427358,42449874,0,"[46201665, 420629930]",East Houston Street,primary,25 mph,True,False,231.63800000000003,"LINESTRING (-73.9813453 40.7206496, -73.9812508 40.7206209, -73.9796718 40.7201467, -73.9792472 40.7200191, -73.9789536 40.7199308, -73.9789058 40.7199167, -73.978792 40.7198786)","['2', '3']",,,,,,
42427358,1919595923,0,"[385102416, 433442263]",East Houston Street,primary,25 mph,True,False,75.995,"LINESTRING (-73.9821814 40.7209056, -73.9817414 40.7207699, -73.981443 40.7206788, -73.9813453 40.7206496)","['2', '3']",,,,,,
42427369,42428183,0,5670771,East 20th Street,residential,25 mph,True,False,116.167,"LINESTRING (-73.9909583 40.7396792, -73.9908286 40.7396251, -73.9898632 40.7392225, -73.9897504 40.7391754)",,,,,8.5,,
42427369,42454378,0,889114533,5th Avenue,secondary,25 mph,True,False,74.049,"LINESTRING (-73.9909583 40.7396792, -73.9909977 40.7396263, -73.9913495 40.7391507, -73.9913883 40.7390984)",3,,,,,,
42427369,42427371,0,34080062,West 20th Street,residential,25 mph,True,False,309.291,"LINESTRING (-73.9941671 40.7410305, -73.994038 40.7409761, -73.9910747 40.7397276, -73.9909583 40.7396792)",,,,,,,
42427369,42443671,0,"[889114521, 68668541]",5th Avenue,secondary,25 mph,True,False,74.903,"LINESTRING (-73.9905315 40.7402701, -73.9905722 40.7402115, -73.9907411 40.7399819, -73.9909115 40.7397444, -73.9909583 40.7396792)",3,,,,16,,
42427371,42430265,0,196117090,6th Avenue,secondary,25 mph,True,False,74.53099999999999,"LINESTRING (-73.9941671 40.7410305, -73.9941235 40.7410904, -73.9937804 40.7415616, -73.9937398 40.7416174)",,,,,,,
